"Svc","Vsl","Voy","Dir","Facility","Berth.LTA","LTD","Berth.ETA.ATA","ETD.ATD","Arr..Diff.","Dep..Diff","X","portTime","LportTime","arrDiff","depDiff","SeaT","PSeaT"
"SSX","OTY",14,"E","SKZ",2009-03-07 07:00:00,2009-03-07 15:00:00,2009-03-06 19:40:00,2009-03-07 07:05:00,"-11","-8",NA,11.4166666666667,8,-11.3333333333333,-7.91666666666667,15.1166666666667,6
"SSX","OTY",14,"E","YAT",2009-03-07 21:00:00,2009-03-08 14:00:00,2009-03-07 22:12:00,2009-03-08 20:49:00,"1","7",NA,22.6166666666667,17,1.2,6.81666666666667,4.65,5
"SSX","OTY",14,"E","HKG",2009-03-08 19:00:00,2009-03-09 10:00:00,2009-03-09 01:28:00,2009-03-09 12:42:00,"6","3",NA,11.2333333333333,15,6.46666666666667,2.7,279.3,287
"SSX","OTY",14,"E","LGB",2009-03-21 09:00:00,2009-03-25 18:00:00,2009-03-21 04:00:00,2009-03-25 18:40:00,"-5","1",NA,110.666666666667,105,-5,0.666666666666667,307.5,299
"SSX","OTY",14,"W","KHH",2009-04-07 05:00:00,2009-04-08 09:00:00,2009-04-07 14:10:00,2009-04-08 02:40:00,"9","-6",NA,12.5,28,9.16666666666667,-6.33333333333333,15.2,11
"SSX","OTY",14,"W","ZIA",2009-04-08 20:00:00,2009-04-09 14:00:00,2009-04-08 17:52:00,2009-04-09 08:16:00,"-2","-6",NA,14.4,18,-2.13333333333333,-5.73333333333333,21.5333333333333,16
"SSX","OTY",14,"W","HKG",2009-04-10 06:00:00,2009-04-10 17:00:00,2009-04-10 05:48:00,2009-04-10 14:32:00,"0","-2",NA,8.73333333333333,11,-0.2,-2.46666666666667,2.55,10
"SSX","OTY",14,"W","SKZ",2009-04-11 03:00:00,2009-04-11 10:00:00,2009-04-10 17:05:00,2009-04-11 10:05:00,"-10","0",NA,17,7,-9.91666666666667,0.0833333333333333,NA,NA
"SSX","CBG",50,"W","LGB",NA,2009-03-13 18:00:00,NA,2009-03-13 18:00:00,"N/A","0",NA,NA,NA,NA,0,446.166666666667,396
"SSX","CBG",50,"W","HKG",2009-03-30 06:00:00,NA,2009-04-01 08:10:00,NA,"50","N/A",NA,NA,NA,50.1666666666667,NA,NA,NA
